food_id,name_tr,name_en,category_tr,current_calories_100g,current_protein_100g,current_carbs_100g,current_fat_100g,current_fiber_100g,current_sugar_100g,current_sodium_mg_100g,review_status,priority_reason
69,Brokoli (Haşlanmış),Broccoli boiled,Sebze,42,2.4,7.2,0.4,0,0,0,pending_verification,Sık tüketilen sebze; haşlanmış brokoli USDA adayı güçlü
71,Kabak,Zucchini,Sebze,20,1.2,3.1,0.3,0,0,0,needs_review,İsim düzeltildi; makrolar kaynakla doğrulanmalı
73,Biber (Dolmalık),Bell pepper,Sebze,24,0.9,4.6,0.2,0,0,0,needs_review,Temel sebze
75,Mantar (Beyaz),White mushroom raw,Sebze,28,3.1,3.3,0.3,0,0,0,needs_review,Temel sebze; çiğ mantar USDA adayı güçlü
76,Patates (Haşlanmış),Potato boiled,Sebze,89.3333,1.8667,20.1333,0.1333,0,0,0,pending_verification,Temel nişasta kaynağı; pişmiş/çiğ durumu netleştirilmeli
77,Mısır (Haşlanmış),Corn boiled,Sebze,111,3.4,21,1.5,0,0,0,pending_verification,Yaygın sebze/tahıl
84,"Ton Balığı (Konserve, Suda)",Tuna canned in water,Balık & Deniz,113,26,0,1,0,0,0,pending_verification,Konserve balık; USDA adayı mevcut
93,Kaşar Peyniri,Kashar cheese,Süt Ürünleri,380,25.2,2,30,0,0,0,pending_verification,Sık tüketilen peynir; USDA eşleşmesi gerekli
99,Beyaz Ekmek,White bread,Tahıl & Ekmek,263.3333,9,49,3.3333,0,0,0,pending_verification,Günlük ekmek tüketimi; USDA adayı mevcut
105,Ceviz,Walnut,Kuruyemiş,700,15,15,65,0,0,0,pending_verification,Temel kuruyemiş; USDA ceviz adayı mevcut
106,Fındık,Hazelnut,Kuruyemiş,550,15,15,50,0,0,0,pending_verification,Temel kuruyemiş; fındık kreması adayları reddedilmeli
124,Humus,Hummus,Baklagil,178,8,14,10,0,0,0,pending_verification,Akdeniz temel gıdası; USDA humus adayı mevcut
130,Zeytin (Siyah),Black olive,Yağ & Sos,128.5714,0.8571,6.2857,11.1429,0,0,0,pending_verification,Akdeniz temel gıdası
143,Limon,Lemon,Meyve,28.3333,1,9,0.3333,0,0,0,needs_review,Sık kullanılan temel meyve/sebze
152,Soğan (Çiğ),Onion raw,Sebze,40,1.1,9.3,0.1,0,0,0,needs_review,Temel mutfak bileşeni; çiğ soğan USDA adayı güçlü
153,Sarımsak,Garlic raw,Sebze,433.3333,20,100,0,0,0,0,needs_review,Makro değerleri şüpheli; porsiyon/100g kontrolü gerekli
173,Yumurta (Çiğ),Egg raw whole,Yumurta,144,12.6,0.8,9.6,0,0,0,pending_verification,Çiğ yumurta referansı; USDA adayı güçlü
188,Kırmızı Mercimek (Haşlanmış),Red lentils boiled,Baklagil,116,9,20,0.4,0,0,0,needs_review,Temel mercimek; haşlanmış kırmızı mercimek USDA eşleşmesi gerekli
189,Yeşil Mercimek (Haşlanmış),Green lentils boiled,Baklagil,116,9,20,0.4,0,0,0,needs_review,Temel mercimek; haşlanmış yeşil mercimek USDA eşleşmesi gerekli
238,Balık (Izgara),Fish grilled,Balık & Deniz,137.3333,22.6667,0,4.6667,0,0,0,needs_review,Genel balık referansı; tür bazlı doğrulama gerekebilir
