food_id,name_tr,name_en,category_tr,current_calories_100g,current_protein_100g,current_carbs_100g,current_fat_100g,current_fiber_100g,current_sugar_100g,current_sodium_mg_100g,usda_food_id,usda_name_tr,usda_name_en,usda_category_tr,usda_calories_100g,usda_protein_100g,usda_carbs_100g,usda_fat_100g,usda_fiber_100g,usda_sugar_100g,usda_sodium_mg_100g,calorie_diff,protein_diff,carbs_diff,fat_diff,fiber_diff,sugar_diff,sodium_diff,match_confidence,verification_decision,review_note
14,Yoğurt (Tam Yağlı),Yogurt whole milk,Süt Ürünleri,62.6667,3.5333,4.7333,3.2667,0,0,0,5114,Tam Yağlı Sade Yoğurt,,,77.9524,3.8242,5.5749,4.484,0,0,0,15.2857,0.2909,0.8416,1.2173,0,0,0,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
15,Nohut (Haşlanmış),Chickpeas boiled,Baklagil,167.3333,8.9333,27,2.6,0,0,0,6267,Çiğ Nohut,,,378,20.47,62.95,6.04,0,0,0,210.6667,11.5367,35.95,3.44,0,0,0,medium,likely_match_manual_check,Aday yakın ancak pişirme/çiğ durumu farklı olabilir — elle kontrol gerekli.
16,Badem,Almond,Kuruyemiş,666.6667,25,25,50,0,0,0,232,Badem,,,579,21.15,21.55,49.93,0,0,0,-87.6667,-3.85,-3.45,-0.07,0,0,0,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
17,Ispanak (Çiğ),Spinach raw,Sebze,30,3,3.5,0.5,0,0,0,6164,Çiğ Ispanak,,,23,2.86,3.63,0.39,0,0,0,-7,-0.14,0.13,-0.11,0,0,0,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
18,Tatlı Patates,Sweet potato,Sebze,87.5,1.5833,20,0.0833,0,0,0,6192,Çiğ Kabuksuz Tatlı Patates,"Sweet Potatoes, Raw, Without Skin",Sebze,78.999,1.5781,17.3279,0.375,0,0,0,-8.501,-0.0052,-2.6721,0.2917,0,0,0,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
20,Zeytinyağı,Olive oil,Yağ & Sos,900,0,0,100,0,0,0,5877,"Zeytinyağı, yemeklik ve salatalık",,,884,0,0,100,0,0,0,-16,0,0,0,0,0,0,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
22,Beyaz Peynir,White cheese feta,Süt Ürünleri,266.6667,14.3333,4,21.3333,0,0,0,5108,Tam Yağlı Beyaz Peynir,,,272.884,19.7078,5.5832,19.08,0,0,0,6.2173,5.3745,1.5832,-2.2533,0,0,0,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
33,Bulgur Pilavı,Bulgur pilaf,Tahıl & Ekmek,154,5.6,30,1.3,0,0,0,4621,Pişmiş bulgur,Cooked Bulgur,Tahıl ve Ekmek,83,3.08,18.58,0.24,4.5,0.1,5,-71,-2.52,-11.42,-1.06,4.5,0.1,5,none,recipe_or_turkomp_needed,Hazır yemek/tarif gıdası — USDA yerine TürKomp veya tarif hesabı gerekli.
34,Makarna (Haşlanmış),Pasta cooked,Tahıl & Ekmek,130.5,5,25.2,1.1,0,0,0,4565,Pişmiş Tam Buğday Makarna,Cooked Whole Wheat Pasta,Tahıl ve Ekmek,156,5.67,30.87,1.48,4.5,0.65,4,25.5,0.67,5.67,0.38,4.5,0.65,4,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
37,Ayran,Ayran,İçecek,35.6,2,2.4,2,0,0,0,,,,,,,,,,,,,,,,,,,none,recipe_or_turkomp_needed,Hazır yemek/tarif gıdası — USDA yerine TürKomp veya tarif hesabı gerekli.
45,Elma,Apple,Meyve,57.7778,0.2778,13.7778,0.1667,0,0,0,6172,Çiğ Kabuklu Elma,"Apple, Raw, With Skin",Meyve,52,0.26,13.81,0.17,2.4,10.39,1,-5.7778,-0.0178,0.0322,0.0033,2.4,10.39,1,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
46,Muz,Banana,Meyve,98.3333,1.0833,22.8333,0.3333,0,0,0,6262,Çiğ Muz,"Banana, Raw",Meyve,89,1.09,22.84,0.33,2.6,12.23,1,-9.3333,0.0067,0.0067,-0.0033,2.6,12.23,1,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
49,Portakal,Orange,Meyve,52.6667,0.9333,12,0.1333,0,0,0,6308,Çiğ Portakal,"Orange, Raw",Meyve,47,0.91,11.8,0.15,2,0,9,-5.6667,-0.0233,-0.2,0.0167,2,0,9,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
51,Çilek,Strawberry,Meyve,36.6667,0.6667,7.7333,0.3333,0,0,0,6495,Çiğ Çilek,,,31,0.64,7.63,0.22,0,0,0,-5.6667,-0.0267,-0.1033,-0.1133,0,0,0,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
53,Karpuz,Watermelon,Meyve,34.5,0.6,7.6,0.2,0,0,0,2640,"Karpuz, Çiğ",,,30,0.61,7.55,0.15,0,0,0,-4.5,0.01,-0.05,-0.05,0,0,0,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
55,Armut,Pear,Meyve,62.9412,0.4118,15,0.1176,0,0,0,6001,Çiğ Armut,Raw Pear,Meyve,57,0.36,15.23,0.14,3.1,9.75,1,-5.9412,-0.0518,0.23,0.0224,3.1,9.75,1,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
65,Domates,Tomato,Sebze,20.8333,0.9167,3.9167,0.1667,0,0,0,6214,Çiğ Kokteyl Domates,"Grape Tomatoes, Raw",Sebze,27,0.83,5.51,0.63,2.1,0,6,6.1667,-0.0867,1.5933,0.4633,2.1,0,6,low,keep_pending,Aday belirsiz; otomatik güncelleme önerilmez.
66,Salatalık,Cucumber,Sebze,18,0.7,3.6,0.1,0,0,0,6190,Çiğ Kabuksuz Salatalık,Raw Peeled Cucumber,Sebze,10,0.59,2.16,0.16,0.7,1.38,2,-8,-0.11,-1.44,0.06,0.7,1.38,2,low,keep_pending,Aday belirsiz; otomatik güncelleme önerilmez.
67,Marul,Lettuce,Sebze,17,0.9,3,0.1,0,0,0,6163,Çiğ Iceberg Marul,,,17.1088,0.7425,3.3687,0.0737,0,0,0,0.1088,-0.1575,0.3687,-0.0263,0,0,0,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
68,Havuç,Carrot,Sebze,43.3333,0.8333,9.6667,0.1667,0,0,0,6153,Çiğ Havuç,"Carrots, Raw",Sebze,40.7723,0.805,9.0787,0.1375,2.694,0,62.66,-2.561,-0.0283,-0.588,-0.0292,2.694,0,62.66,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
69,Brokoli (Haşlanmış),Broccoli boiled,Sebze,42,2.4,7.2,0.4,0,0,0,2339,Haşlanmış tuzsuz brokoli,,,35,2.38,7.18,0.41,0,0,0,-7,-0.02,-0.02,0.01,0,0,0,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
71,Kabak,Zucchini,Sebze,20,1.2,3.1,0.3,0,0,0,6181,Çiğ Kabuklu Kabak,"Zucchini, Raw, With Skin",Sebze,19,0.9844,3.27,0.205,0.7525,0,0,-1,-0.2156,0.17,-0.095,0.7525,0,0,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
73,Biber (Dolmalık),Bell pepper,Sebze,24,0.9,4.6,0.2,0,0,0,6232,Çiğ Kırmızı Dolmalık Biber,,,26,0.99,6.03,0.3,0,0,0,2,0.09,1.43,0.1,0,0,0,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
75,Mantar (Beyaz),White mushroom raw,Sebze,28,3.1,3.3,0.3,0,0,0,588,"Beyaz mantar, çiğ",,,22,3.09,3.26,0.34,0,0,0,-6,-0.01,-0.04,0.04,0,0,0,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
76,Patates (Haşlanmış),Potato boiled,Sebze,89.3333,1.8667,20.1333,0.1333,0,0,0,2548,Kabuksuz Haşlanmış Tatlı Patates,Boiled Sweet Potato without Skin,Sebze,76,1.37,17.72,0.14,2.5,5.74,27,-13.3333,-0.4967,-2.4133,0.0067,2.5,5.74,27,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
77,Mısır (Haşlanmış),Corn boiled,Sebze,111,3.4,21,1.5,0,0,0,,,,,,,,,,,,,,,,,,,none,no_source_match,Supabase ve önceki eşleşme dosyasında uygun USDA adayı bulunamadı.
84,"Ton Balığı (Konserve, Suda)",Tuna canned in water,Balık & Deniz,113,26,0,1,0,0,0,3149,Konserve Suda Beyaz Ton Balığı,,,128,23.62,0,2.97,0,0,0,15,-2.38,0,1.97,0,0,0,low,keep_pending,Aday belirsiz; otomatik güncelleme önerilmez.
93,Kaşar Peyniri,Kashar cheese,Süt Ürünleri,380,25.2,2,30,0,0,0,,,,,,,,,,,,,,,,,,,none,no_source_match,Supabase ve önceki eşleşme dosyasında uygun USDA adayı bulunamadı.
99,Beyaz Ekmek,White bread,Tahıl & Ekmek,263.3333,9,49,3.3333,0,0,0,532,Beyaz Ekmek,,,270,9.43,49.2,3.59,0,0,0,6.6667,0.43,0.2,0.2567,0,0,0,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
105,Ceviz,Walnut,Kuruyemiş,700,15,15,65,0,0,0,578,"Beyaz ceviz, kurutulmuş",,,612,24.9,12.05,56.98,0,0,0,-88,9.9,-2.95,-8.02,0,0,0,low,keep_pending,Aday belirsiz; otomatik güncelleme önerilmez.
106,Fındık,Hazelnut,Kuruyemiş,550,15,15,50,0,0,0,2010,Fındık,,,628,14.95,16.7,60.75,0,0,0,78,-0.05,1.7,10.75,0,0,0,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
124,Humus,Hummus,Baklagil,178,8,14,10,0,0,0,2486,Humus,,,229,7.35,14.9,17.1,0,0,0,51,-0.65,0.9,7.1,0,0,0,medium,likely_match_manual_check,Makro farkları orta düzeyde — aynı gıda olduğu doğrulandıktan sonra güncellenebilir.
130,Zeytin (Siyah),Black olive,Yağ & Sos,128.5714,0.8571,6.2857,11.1429,0,0,0,4854,Siyah zeytin,,,116,0.84,6.04,10.9,0,0,0,-12.5714,-0.0171,-0.2457,-0.2429,0,0,0,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
143,Limon,Lemon,Meyve,28.3333,1,9,0.3333,0,0,0,4035,"Limon suyu, çiğ","Lemon Juice, Raw",İçecek,22,0.35,6.9,0.24,0.3,2.52,1,-6.3333,-0.65,-2.1,-0.0933,0.3,2.52,1,low,keep_pending,Aday belirsiz; otomatik güncelleme önerilmez.
152,Soğan (Çiğ),Onion raw,Sebze,40,1.1,9.3,0.1,0,0,0,70,"Arpacık Soğan, Çiğ",,,72,2.5,16.8,0.1,0,0,0,32,1.4,7.5,0,0,0,0,low,keep_pending,Aday belirsiz; otomatik güncelleme önerilmez.
153,Sarımsak,Garlic raw,Sebze,433.3333,20,100,0,0,0,0,6335,Çiğ Sarımsak,,,143,6.62,28.2,0.38,0,0,0,-290.3333,-13.38,-71.8,0.38,0,0,0,medium,likely_match_manual_check,İsim benzerliği var ancak makrolar belirgin şekilde farklı — porsiyon/durum kontrolü gerekli.
173,Yumurta (Çiğ),Egg raw whole,Yumurta,144,12.6,0.8,9.6,0,0,0,6041,Çiğ Bütün Yumurta,,,143,12.56,0.72,9.51,0,0,0,-1,-0.04,-0.08,-0.09,0,0,0,high,can_update_from_usda,Aynı gıda ve benzer durum; USDA değerleri kaynak olarak kullanılabilir (elle onay sonrası).
188,Kırmızı Mercimek (Haşlanmış),Red lentils boiled,Baklagil,116,9,20,0.4,0,0,0,,,,,,,,,,,,,,,,,,,none,no_source_match,Supabase ve önceki eşleşme dosyasında uygun USDA adayı bulunamadı.
189,Yeşil Mercimek (Haşlanmış),Green lentils boiled,Baklagil,116,9,20,0.4,0,0,0,,,,,,,,,,,,,,,,,,,none,no_source_match,Supabase ve önceki eşleşme dosyasında uygun USDA adayı bulunamadı.
238,Balık (Izgara),Fish grilled,Balık & Deniz,137.3333,22.6667,0,4.6667,0,0,0,,,,,,,,,,,,,,,,,,,none,no_source_match,Supabase ve önceki eşleşme dosyasında uygun USDA adayı bulunamadı.
