candidate_id,name_tr,name_en,category_tr,category_en,default_portion_label_tr,default_portion_grams,aliases_tr,tags,preferred_source,source_priority,notes
bev_021,Laktozsuz Süt,Lactose-free milk,İçecek,Beverage,1 Su Bardağı,200,laktozsuz süt,Vejetaryen;Glutensiz;Kuruyemişsiz,OPEN_FOOD_FACTS,2,packaged values vary
bev_022,Soya Sütü (Şekersiz),Unsweetened soy milk,İçecek,Beverage,1 Su Bardağı,200,"soya sütü, şekersiz soya sütü",Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA_OR_OPEN_FOOD_FACTS,2,brand/formulation varies
bev_023,Badem Sütü (Şekersiz),Unsweetened almond milk,İçecek,Beverage,1 Su Bardağı,200,"badem sütü, şekersiz badem sütü",Vegan;Vejetaryen;Glutensiz;Laktozsuz,OPEN_FOOD_FACTS,2,brand values vary
bev_024,Yulaf Sütü (Şekersiz),Unsweetened oat milk,İçecek,Beverage,1 Su Bardağı,200,"yulaf sütü, şekersiz yulaf sütü",Vegan;Vejetaryen;Laktozsuz,OPEN_FOOD_FACTS,2,brand values vary
bev_025,Muzlu Süt,Banana milk,İçecek,Beverage,1 Kutu/Bardak,200,muzlu süt,Vejetaryen;Glutensiz,OPEN_FOOD_FACTS,2,packaged or recipe; sugar varies
bev_026,Kakaolu Süt,Chocolate milk,İçecek,Beverage,1 Kutu/Bardak,200,"kakaolu süt, çikolatalı süt",Vejetaryen;Glutensiz,OPEN_FOOD_FACTS,2,packaged values vary
bev_027,Portakal Suyu,Orange juice,İçecek,Beverage,1 Su Bardağı,200,portakal suyu,Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA_OR_OPEN_FOOD_FACTS,1,100% juice vs nectar distinguish
bev_028,Elma Suyu,Apple juice,İçecek,Beverage,1 Su Bardağı,200,elma suyu,Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA_OR_OPEN_FOOD_FACTS,1,100% juice vs nectar distinguish
bev_029,Vişne Suyu,Sour cherry juice,İçecek,Beverage,1 Su Bardağı,200,vişne suyu,Vegan;Vejetaryen;Glutensiz;Laktozsuz,OPEN_FOOD_FACTS,2,often packaged nectar; sugar varies
bev_030,Üzüm Suyu,Grape juice,İçecek,Beverage,1 Su Bardağı,200,üzüm suyu,Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA_OR_OPEN_FOOD_FACTS,1,100% juice vs nectar distinguish
bev_031,Nar Suyu,Pomegranate juice,İçecek,Beverage,1 Su Bardağı,200,nar suyu,Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA_OR_OPEN_FOOD_FACTS,2,packaged/fresh can vary
bev_032,Greyfurt Suyu,Grapefruit juice,İçecek,Beverage,1 Su Bardağı,200,greyfurt suyu,Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA,1,basic juice
bev_033,Havuç Suyu,Carrot juice,İçecek,Beverage,1 Su Bardağı,200,havuç suyu,Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA_OR_RECIPE,2,fresh juice values vary
bev_034,Domates Suyu,Tomato juice,İçecek,Beverage,1 Su Bardağı,200,domates suyu,Vegan;Vejetaryen;Glutensiz;Laktozsuz,USDA_OR_OPEN_FOOD_FACTS,2,sodium differs by product
bev_035,Limonata (Ev Yapımı),Homemade lemonade,İçecek,Beverage,1 Su Bardağı,250,"limonata, ev yapımı limonata",Vegan;Vejetaryen;Glutensiz;Laktozsuz,RECIPE,2,sugar amount varies; recipe needed
bev_036,Limonata (Şekersiz),Unsweetened lemonade,İçecek,Beverage,1 Su Bardağı,250,şekersiz limonata,Vegan;Vejetaryen;Glutensiz;Laktozsuz,RECIPE,2,lemon+water; sweetener optional
bev_037,Kola,Cola,İçecek,Beverage,1 Kutu,330,"kola, cola",Vegan;Vejetaryen;Glutensiz;Laktozsuz,OPEN_FOOD_FACTS,2,brand values vary
bev_038,Kola Zero,Diet cola,İçecek,Beverage,1 Kutu,330,"kola zero, diet cola, şekersiz kola",Vegan;Vejetaryen;Glutensiz;Laktozsuz,OPEN_FOOD_FACTS,2,brand values vary
bev_039,Gazoz,Lemon-lime soda,İçecek,Beverage,1 Şişe,250,gazoz,Vegan;Vejetaryen;Glutensiz;Laktozsuz,OPEN_FOOD_FACTS,2,packaged values vary
bev_040,Soğuk Çay,Iced tea,İçecek,Beverage,1 Kutu/Şişe,330,"ice tea, soğuk çay",Vegan;Vejetaryen;Glutensiz;Laktozsuz,OPEN_FOOD_FACTS,2,sugar varies by product
bev_041,Enerji İçeceği,Energy drink,İçecek,Beverage,1 Kutu,250,"enerji içeceği, energy drink",Vegan;Vejetaryen,OPEN_FOOD_FACTS,2,brand/caffeine/sugar varies
bev_042,Spor İçeceği,Sports drink,İçecek,Beverage,1 Şişe,500,"spor içeceği, isotonic drink",Vegan;Vejetaryen,OPEN_FOOD_FACTS,3,brand formulation varies
bev_043,Protein Shake (Sütlü),Protein shake with milk,İçecek,Beverage,1 Shaker,300,"protein shake, protein içeceği",Vejetaryen;Glutensiz,RECIPE_OR_MANUAL_REVIEW,3,depends on protein powder + milk
bev_044,Protein Shake (Su ile),Protein shake with water,İçecek,Beverage,1 Shaker,300,protein shake su ile,Vejetaryen;Glutensiz,RECIPE_OR_MANUAL_REVIEW,3,depends on protein powder
bev_045,Smoothie (Muzlu),Banana smoothie,İçecek,Beverage,1 Bardak,300,muzlu smoothie,Vejetaryen;Glutensiz,RECIPE,3,recipe needed; fruit+yogurt/milk vary
bev_046,Smoothie (Çilekli),Strawberry smoothie,İçecek,Beverage,1 Bardak,300,çilekli smoothie,Vejetaryen;Glutensiz,RECIPE,3,recipe needed
bev_047,Salep,Salep,İçecek,Beverage,1 Fincan,200,salep,Vejetaryen;Glutensiz,TURKOMP_OR_RECIPE,2,traditional hot drink; milk/sugar varies
bev_048,Boza,Boza,İçecek,Beverage,1 Su Bardağı,200,boza,Vegan;Vejetaryen,TURKOMP_OR_RECIPE,2,traditional fermented drink
bev_049,Şalgam Suyu,Turnip juice,İçecek,Beverage,1 Su Bardağı,200,"şalgam, şalgam suyu",Vegan;Vejetaryen;Glutensiz;Laktozsuz,TURKOMP_OR_OPEN_FOOD_FACTS,2,traditional fermented; packaged values vary
bev_050,Komposto,Fruit compote drink,İçecek,Beverage,1 Kase/Bardak,200,komposto,Vegan;Vejetaryen,RECIPE,3,fruit+sugar recipe varies
bev_051,Hoşaf,Dried fruit compote drink,İçecek,Beverage,1 Kase/Bardak,200,hoşaf,Vegan;Vejetaryen,RECIPE,3,dried fruit+sugar recipe varies
bev_052,Kakao (Sıcak Çikolata),Hot chocolate,İçecek,Beverage,1 Fincan,200,"sıcak çikolata, kakao",Vejetaryen;Glutensiz,RECIPE_OR_OPEN_FOOD_FACTS,2,milk/cocoa/sugar varies
