catalog_food_id,slug,name_tr,name_en,category_tr,category_en,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g,default_portion_label_tr,default_portion_label_en,default_portion_grams,aliases_tr,aliases_en,tags,search_text_tr,search_text_en,source_type,source_name,source_food_id,confidence,review_status,visible
13,avokado,Avokado,,Genel,General,179.3333,2,9,15,0,0,0,1 Adet,,150,"Avokado, avokado",,"Vegan, Vejetaryen, Keto, Akdeniz, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Avokado Avokado, avokado Genel Vegan, Vejetaryen, Keto, Akdeniz, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
14,yogurt_tam_yagli,Yoğurt (Tam Yağlı),,Süt Ürünleri,Dairy,62.6667,3.5333,4.7333,3.2667,0,0,0,1 Kase,,150,"Yoğurt (Tam Yağlı), Yoğurt, yoğurt tam yağlı, yoğurt, yogurt tam yagli",,"Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein","Yoğurt (Tam Yağlı) Yoğurt (Tam Yağlı), Yoğurt, yoğurt tam yağlı, yoğurt, yogurt tam yagli Süt Ürünleri Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
15,nohut_haslanmis,Nohut (Haşlanmış),,Baklagil,Legumes,167.3333,8.9333,27,2.6,0,0,0,1 Kase,,150,"Nohut (Haşlanmış), Nohut, nohut haşlanmış, nohut, nohut haslanmis",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif, Düşük GI, Akdeniz","Nohut (Haşlanmış) Nohut (Haşlanmış), Nohut, nohut haşlanmış, nohut, nohut haslanmis Baklagil Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif, Düşük GI, Akdeniz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
16,badem,Badem,,Kuruyemiş,Nuts & Seeds,666.6667,25,25,50,0,0,0,1 Adet,,1.2,"Badem, badem",,"Vegan, Vejetaryen, Keto, Glutensiz, Laktozsuz, Deniz Ürünsüz, Yüksek Protein","Badem Badem, badem Kuruyemiş Vegan, Vejetaryen, Keto, Glutensiz, Laktozsuz, Deniz Ürünsüz, Yüksek Protein",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
17,ispanak_cig,Ispanak (Çiğ),,Sebze,Vegetable,30,3,3.5,0.5,0,0,0,1 Kase,,40,"Ispanak (Çiğ), Ispanak, ıspanak çiğ, ıspanak, ispanak cig",,"Vegan, Vejetaryen, Akdeniz, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif","Ispanak (Çiğ) Ispanak (Çiğ), Ispanak, ıspanak çiğ, ıspanak, ispanak cig Sebze Vegan, Vejetaryen, Akdeniz, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
18,tatli_patates,Tatlı Patates,,Sebze,Vegetable,87.5,1.5833,20,0.0833,0,0,0,1 Adet,,120,"Tatlı Patates, tatlı patates, tatli patates",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif, Düşük GI","Tatlı Patates Tatlı Patates, tatlı patates, tatli patates Sebze Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif, Düşük GI",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
19,lor_peyniri,Lor Peyniri,,Süt Ürünleri,Dairy,93.3333,11.3333,3.3333,4,0,0,0,1 Yemek Kaşığı,,15,"Lor Peyniri, lor peyniri",,"Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein","Lor Peyniri Lor Peyniri, lor peyniri Süt Ürünleri Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
20,zeytinyagi,Zeytinyağı,,Yağ & Sos,Oils & Sauces,900,0,0,100,0,0,0,1 Yemek Kaşığı,,15,"Zeytinyağı, zeytinyağı, zeytinyagi",,"Vegan, Vejetaryen, Keto, Akdeniz, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Zeytinyağı Zeytinyağı, zeytinyağı, zeytinyagi Yağ & Sos Vegan, Vejetaryen, Keto, Akdeniz, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
21,simit,Simit,,Tahıl & Ekmek,Grains & Bread,283,9,55,3,0,0,0,1 Adet,,100,"Simit, simit",,"Vegan, Vejetaryen, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Simit Simit, simit Tahıl & Ekmek Vegan, Vejetaryen, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
22,beyaz_peynir,Beyaz Peynir,,Süt Ürünleri,Dairy,266.6667,14.3333,4,21.3333,0,0,0,1 Dilim,,30,"Beyaz Peynir, beyaz peynir",,"Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein, Keto","Beyaz Peynir Beyaz Peynir, beyaz peynir Süt Ürünleri Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein, Keto",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
23,menemen,Menemen,,Yemek,Prepared Dish,118.8,5.6,5.2,8.4,0,0,0,1 Porsiyon,,250,"Menemen, menemen",,"Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Akdeniz","Menemen Menemen, menemen Yemek Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Akdeniz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
24,omlet,Omlet,,Genel,General,150,10.625,0.625,11.625,0,0,0,1 Adet,,80,"Omlet, omlet",,"Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Keto, Yüksek Protein","Omlet Omlet, omlet Genel Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Keto, Yüksek Protein",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
25,pogaca_peynirli,Poğaça (Peynirli),,Süt Ürünleri,Dairy,362.5,9.5,45,16,0,0,0,1 Adet,,80,"Poğaça (Peynirli), Poğaça, poğaça peynirli, poğaça, pogaca peynirli",,"Vejetaryen, Kuruyemişsiz, Deniz Ürünsüz","Poğaça (Peynirli) Poğaça (Peynirli), Poğaça, poğaça peynirli, poğaça, pogaca peynirli Süt Ürünleri Vejetaryen, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
26,doner_tavuk,Döner (Tavuk),,Et & Tavuk,Meat & Poultry,150,22,3,5.5333,0,0,0,1 Porsiyon,,150,"Döner (Tavuk), Döner, döner tavuk, döner, doner tavuk",,"Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein","Döner (Tavuk) Döner (Tavuk), Döner, döner tavuk, döner, doner tavuk Et & Tavuk Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
27,doner_et,Döner (Et),,Et & Tavuk,Meat & Poultry,228,19.6,2.8,15.4,0,0,0,1 Porsiyon,,150,"Döner (Et), Döner, döner et, döner, doner et",,"Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein","Döner (Et) Döner (Et), Döner, döner et, döner, doner et Et & Tavuk Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
28,lahmacun,Lahmacun,,Yemek,Prepared Dish,213.3333,10.8333,27.5,6.6667,0,0,0,1 Adet,,120,"Lahmacun, lahmacun",,"Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Lahmacun Lahmacun, lahmacun Yemek Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
29,pide_kasarli,Pide (Kaşarlı),,Tahıl & Ekmek,Grains & Bread,280,12.52,35,10,0,0,0,1 Porsiyon,,250,"Pide (Kaşarlı), Pide, pide kaşarlı, pide, pide kasarli",,"Kuruyemişsiz, Deniz Ürünsüz","Pide (Kaşarlı) Pide (Kaşarlı), Pide, pide kaşarlı, pide, pide kasarli Tahıl & Ekmek Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
30,borek_peynirli_firin,"Börek (Peynirli, Fırın)",,Süt Ürünleri,Dairy,331.25,11.75,32.375,17.25,0,0,0,1 Dilim,,80,"Börek (Peynirli, Fırın), Börek, börek peynirli, fırın, börek, borek peynirli firin",,"Vejetaryen, Kuruyemişsiz, Deniz Ürünsüz","Börek (Peynirli, Fırın) Börek (Peynirli, Fırın), Börek, börek peynirli, fırın, börek, borek peynirli firin Süt Ürünleri Vejetaryen, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
31,manti,Mantı,,Yemek,Prepared Dish,185,9.5,24.6,5.4,0,0,0,1 Porsiyon,,300,"Mantı, mantı, manti",,"Kuruyemişsiz, Deniz Ürünsüz","Mantı Mantı, mantı, manti Yemek Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
32,i_skender_kebap,İskender Kebap,,Et & Tavuk,Meat & Poultry,206.5714,14,15.1429,10,0,0,0,1 Porsiyon,,350,"İskender Kebap, iskender kebap, i skender kebap",,"Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein","İskender Kebap İskender Kebap, iskender kebap, i skender kebap Et & Tavuk Kuruyemişsiz, Deniz Ürünsüz, Yüksek Protein",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
33,bulgur_pilavi,Bulgur Pilavı,,Tahıl & Ekmek,Grains & Bread,154,5.6,30,1.3,0,0,0,1 Porsiyon,,200,"Bulgur Pilavı, bulgur pilavı, bulgur pilavi",,"Vegan, Vejetaryen, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif","Bulgur Pilavı Bulgur Pilavı, bulgur pilavı, bulgur pilavi Tahıl & Ekmek Vegan, Vejetaryen, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
34,makarna_haslanmis,Makarna (Haşlanmış),,Tahıl & Ekmek,Grains & Bread,130.5,5,25.2,1.1,0,0,0,1 Porsiyon,,200,"Makarna (Haşlanmış), Makarna, makarna haşlanmış, makarna, makarna haslanmis",,"Vegan, Vejetaryen, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Makarna (Haşlanmış) Makarna (Haşlanmış), Makarna, makarna haşlanmış, makarna, makarna haslanmis Tahıl & Ekmek Vegan, Vejetaryen, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
35,domates_corbasi,Domates Çorbası,,Çorba,Soup,49.2,1.6,8,1.2,0,0,0,1 Kase,,250,"Domates Çorbası, domates çorbası, domates corbasi",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Akdeniz","Domates Çorbası Domates Çorbası, domates çorbası, domates corbasi Çorba Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Akdeniz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
36,tavuk_corbasi,Tavuk Çorbası,,Çorba,Soup,15.2,1.8,0.8,0.52,0,0,0,1 Kase,,250,"Tavuk Çorbası, tavuk çorbası, tavuk corbasi",,"Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Tavuk Çorbası Tavuk Çorbası, tavuk çorbası, tavuk corbasi Çorba Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
37,ayran,Ayran,,Süt Ürünleri,Dairy,35.6,2,2.4,2,0,0,0,1 Bardak,,250,"Ayran, ayran",,"Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz","Ayran Ayran, ayran Süt Ürünleri Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
38,turk_cayi_sekersiz,Türk Çayı (Şekersiz),,İçecek,Beverage,2,0,0.4,0,0,0,0,1 Bardak,,100,"Türk Çayı (Şekersiz), Türk Çayı, türk çayı şekersiz, türk çayı, turk cayi sekersiz",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Türk Çayı (Şekersiz) Türk Çayı (Şekersiz), Türk Çayı, türk çayı şekersiz, türk çayı, turk cayi sekersiz İçecek Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
39,turk_kahvesi_sade,Türk Kahvesi (Sade),,İçecek,Beverage,5,0.3333,0.6667,0.1667,0,0,0,1 Fincan,,60,"Türk Kahvesi (Sade), Türk Kahvesi, türk kahvesi sade, türk kahvesi, turk kahvesi sade",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Türk Kahvesi (Sade) Türk Kahvesi (Sade), Türk Kahvesi, türk kahvesi sade, türk kahvesi, turk kahvesi sade İçecek Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
40,tost_kasarli,Tost (Kaşarlı),,Tahıl & Ekmek,Grains & Bread,290,13,28,14,0,0,0,1 Adet,,150,"Tost (Kaşarlı), Tost, tost kaşarlı, tost, tost kasarli",,"Vejetaryen, Kuruyemişsiz, Deniz Ürünsüz","Tost (Kaşarlı) Tost (Kaşarlı), Tost, tost kaşarlı, tost, tost kasarli Tahıl & Ekmek Vejetaryen, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
41,karniyarik,Karnıyarık,,Yemek,Prepared Dish,122.5,7.8,9.8,5.8,0,0,0,1 Porsiyon,,200,"Karnıyarık, karnıyarık, karniyarik",,"Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Akdeniz","Karnıyarık Karnıyarık, karnıyarık, karniyarik Yemek Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Akdeniz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
42,cacik,Cacık,,Yemek,Prepared Dish,51.5,2.8,3.5,2.9,0,0,0,1 Kase,,200,"Cacık, cacık, cacik",,"Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz, Akdeniz","Cacık Cacık, cacık, cacik Yemek Vejetaryen, Glutensiz, Kuruyemişsiz, Deniz Ürünsüz, Akdeniz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
43,baklava,Baklava,,Baklagil,Legumes,427.5,5.25,52,22,0,0,0,1 Adet,,40,"Baklava, baklava",,"Vejetaryen, Kuruyemişsiz, Deniz Ürünsüz","Baklava Baklava, baklava Baklagil Vejetaryen, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
44,kunefe,Künefe,,Tatlı,Dessert,356,8,45,16,0,0,0,1 Porsiyon,,200,"Künefe, künefe, kunefe",,"Vejetaryen, Kuruyemişsiz, Deniz Ürünsüz","Künefe Künefe, künefe, kunefe Tatlı Vejetaryen, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
45,elma,Elma,,Meyve,Fruit,57.7778,0.2778,13.7778,0.1667,0,0,0,1 Adet,,180,"Elma, elma",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif, Düşük GI","Elma Elma, elma Meyve Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif, Düşük GI",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
46,muz,Muz,,Meyve,Fruit,98.3333,1.0833,22.8333,0.3333,0,0,0,1 Adet,,120,"Muz, muz",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif","Muz Muz, muz Meyve Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz, Yüksek Lif",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
47,cig_kofte_ev_yapimi,Çiğ Köfte (Ev Yapımı),,Et & Tavuk,Meat & Poultry,177.3333,5,28,5,0,0,0,1 Porsiyon,,150,"Çiğ Köfte (Ev Yapımı), Çiğ Köfte, çiğ köfte ev yapımı, çiğ köfte, cig kofte ev yapimi",,"Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz","Çiğ Köfte (Ev Yapımı) Çiğ Köfte (Ev Yapımı), Çiğ Köfte, çiğ köfte ev yapımı, çiğ köfte, cig kofte ev yapimi Et & Tavuk Vegan, Vejetaryen, Glutensiz, Laktozsuz, Kuruyemişsiz, Deniz Ürünsüz",,LOCAL_MASTER_PENDING_VERIFICATION,foodDatabase.js MASTER_FOOD_DB,,,pending_verification,true
