catalog_food_id,name_tr,category_tr,suggested_category_tr,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sugar_100g,sodium_mg_100g,default_portion_label_tr,default_portion_grams,candidate_1_name_tr,candidate_1_calories_100g,candidate_quality,proposed_status,issues_summary,recommended_action
11,Somon (Izgara),Balık & Deniz,,200,20,0,13.3333,0,0,0,1 Porsiyon,150,,,no_candidate,NO_CANDIDATE_KEEP_CURRENT_PENDING,NO_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kaynak bulunana kadar pending kalsın
12,Kinoa,Tahıl & Ekmek,,118.6667,4.4,21,1.8667,0,0,0,1 Kase,150,Kinoa Unu,385.197,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
13,Avokado,Genel,,179.3333,2,9,15,0,0,0,1 Adet,150,Avokado yağı,884.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
14,Yoğurt (Tam Yağlı),Süt Ürünleri,,62.6667,3.5333,4.7333,3.2667,0,0,0,1 Kase,150,"Bebek Maması, Zenginleştirilmiş Yoğurt Tam Yağlı Süt",98.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
15,Nohut (Haşlanmış),Baklagil,,167.3333,8.9333,27,2.6,0,0,0,1 Kase,150,Çiğ Nohut,378.0,likely_related,USDA_RELATED_BUT_VALUES_DIFFER_REVIEW,USDA_RELATED_BUT_VALUES_DIFFER_REVIEW | candidate_quality=likely_related | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir
16,Badem,Kuruyemiş,,666.6667,25,25,50,0,0,0,1 Adet,1.2,Badem,579.0,likely_related,USDA_RELATED_BUT_VALUES_DIFFER_REVIEW,USDA_RELATED_BUT_VALUES_DIFFER_REVIEW | candidate_quality=likely_related | portion_grams_extreme(1.2) | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir
17,Ispanak (Çiğ),Sebze,,30,3,3.5,0.5,0,0,0,1 Kase,40,Çiğ Ispanak,23.0,likely_related,USDA_RELATED_BUT_VALUES_DIFFER_REVIEW,USDA_RELATED_BUT_VALUES_DIFFER_REVIEW | candidate_quality=likely_related | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir
18,Tatlı Patates,Sebze,,87.5,1.5833,20,0.0833,0,0,0,1 Adet,120,"Bebek Maması, Junior Sebze Tatlı Patates",60.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
19,Lor Peyniri,Süt Ürünleri,,93.3333,11.3333,3.3333,4,0,0,0,1 Yemek Kaşığı,15,Az Yağlı Lor Peyniri,84.0,likely_related,LIKELY_OK_OR_USDA_CLOSE,LIKELY_OK_OR_USDA_CLOSE | candidate_quality=likely_related | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA eşleşmesini elle onayla; uygunsa verified yap
20,Zeytinyağı,Yağ & Sos,,900,0,0,100,0,0,0,1 Yemek Kaşığı,15,"Mısır, yer fıstığı ve zeytinyağı",884.0,likely_related,LIKELY_OK_OR_USDA_CLOSE,"LIKELY_OK_OR_USDA_CLOSE | candidate_quality=likely_related | USDA adayı saf zeytinyağı değil, karışık yağ; kaynak eşleşmesi elle düzeltilmeli. | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder",USDA eşleşmesini elle onayla; uygunsa verified yap
21,Simit,Tahıl & Ekmek,,283,9,55,3,0,0,0,1 Adet,100,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
22,Beyaz Peynir,Süt Ürünleri,,266.6667,14.3333,4,21.3333,0,0,0,1 Dilim,30,Tam Yağlı Beyaz Peynir,272.884,likely_related,LIKELY_OK_OR_USDA_CLOSE,LIKELY_OK_OR_USDA_CLOSE | candidate_quality=likely_related | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA eşleşmesini elle onayla; uygunsa verified yap
23,Menemen,Yemek,,118.8,5.6,5.2,8.4,0,0,0,1 Porsiyon,250,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
24,Omlet,Genel,,150,10.625,0.625,11.625,0,0,0,1 Adet,80,Omlet Bütün Yumurta,154.0,likely_related,LIKELY_OK_OR_USDA_CLOSE,LIKELY_OK_OR_USDA_CLOSE | candidate_quality=likely_related | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA eşleşmesini elle onayla; uygunsa verified yap
25,Poğaça (Peynirli),Süt Ürünleri,Tahıl & Ekmek,362.5,9.5,45,16,0,0,0,1 Adet,80,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | category_mismatch: Süt Ürünleri -> Tahıl & Ekmek | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kategori düzelt + değer kontrol
26,Döner (Tavuk),Et & Tavuk,,150,22,3,5.5333,0,0,0,1 Porsiyon,150,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
27,Döner (Et),Et & Tavuk,,228,19.6,2.8,15.4,0,0,0,1 Porsiyon,150,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
28,Lahmacun,Yemek,,213.3333,10.8333,27.5,6.6667,0,0,0,1 Adet,120,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
29,Pide (Kaşarlı),Tahıl & Ekmek,,280,12.52,35,10,0,0,0,1 Porsiyon,250,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
30,"Börek (Peynirli, Fırın)",Süt Ürünleri,Tahıl & Ekmek,331.25,11.75,32.375,17.25,0,0,0,1 Dilim,80,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | category_mismatch: Süt Ürünleri -> Tahıl & Ekmek | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kategori düzelt + değer kontrol
31,Mantı,Yemek,,185,9.5,24.6,5.4,0,0,0,1 Porsiyon,300,Dondurulmuş Domuz Etli Sebzeli Wonton,136.0,bad_candidate_keyword,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=bad_candidate_keyword | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
32,İskender Kebap,Et & Tavuk,,206.5714,14,15.1429,10,0,0,0,1 Porsiyon,350,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
33,Bulgur Pilavı,Tahıl & Ekmek,,154,5.6,30,1.3,0,0,0,1 Porsiyon,200,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
34,Makarna (Haşlanmış),Tahıl & Ekmek,,130.5,5,25.2,1.1,0,0,0,1 Porsiyon,200,,,no_candidate,NO_CANDIDATE_KEEP_CURRENT_PENDING,NO_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=no_candidate | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kaynak bulunana kadar pending kalsın
35,Domates Çorbası,Çorba,,49.2,1.6,8,1.2,0,0,0,1 Kase,250,Konserve Sütle Hazırlanmış Kremalı Domates Çorbası,79.0,likely_related,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=likely_related | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
36,Tavuk Çorbası,Çorba,,15.2,1.8,0.8,0.52,0,0,0,1 Kase,250,Konserve Hazır Taneli Tavuk Çorbası,71.0,likely_related,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=likely_related | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
37,Ayran,Süt Ürünleri,İçecek,35.6,2,2.4,2,0,0,0,1 Bardak,250,Ayran altı sütü,62.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | category_mismatch: Süt Ürünleri -> İçecek | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kategori düzelt + değer kontrol
38,Türk Çayı (Şekersiz),İçecek,,2,0,0.4,0,0,0,0,1 Bardak,100,,,no_candidate,NO_CANDIDATE_KEEP_CURRENT_PENDING,NO_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kaynak bulunana kadar pending kalsın
39,Türk Kahvesi (Sade),İçecek,,5,0.3333,0.6667,0.1667,0,0,0,1 Fincan,60,,,no_candidate,NO_CANDIDATE_KEEP_CURRENT_PENDING,NO_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kaynak bulunana kadar pending kalsın
40,Tost (Kaşarlı),Tahıl & Ekmek,,290,13,28,14,0,0,0,1 Adet,150,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
41,Karnıyarık,Yemek,,122.5,7.8,9.8,5.8,0,0,0,1 Porsiyon,200,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
42,Cacık,Yemek,,51.5,2.8,3.5,2.9,0,0,0,1 Kase,200,,,no_candidate,NO_CANDIDATE_KEEP_CURRENT_PENDING,NO_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kaynak bulunana kadar pending kalsın
43,Baklava,Baklagil,Tatlı,427.5,5.25,52,22,0,0,0,1 Adet,40,,,no_candidate,NO_CANDIDATE_KEEP_CURRENT_PENDING,NO_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=no_candidate | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | category_mismatch: Baklagil -> Tatlı | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kategori düzelt + değer kontrol
44,Künefe,Tatlı,,356,8,45,16,0,0,0,1 Porsiyon,200,,,no_candidate,NO_CANDIDATE_KEEP_CURRENT_PENDING,NO_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=no_candidate | sugar_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kaynak bulunana kadar pending kalsın
45,Elma,Meyve,,57.7778,0.2778,13.7778,0.1667,0,0,0,1 Adet,180,"Bebek Maması, Bebek/Çocuk Elma Doğranmış",50.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
46,Muz,Meyve,,98.3333,1.0833,22.8333,0.3333,0,0,0,1 Adet,120,"Bebek Maması, Elma-Muz Suyu",51.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
47,Çiğ Köfte (Ev Yapımı),Et & Tavuk,,177.3333,5,28,5,0,0,0,1 Porsiyon,150,,,no_candidate,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE,RECIPE_OR_TURKISH_MEAL_NEEDS_MANUAL_SOURCE | candidate_quality=no_candidate | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,TÜRKOMP/tarif hesabı gerekir
48,Gözleme (Peynirli),Süt Ürünleri,Tahıl & Ekmek,286.6667,10.8,33.5333,12.1333,0,0,0,1 Adet,150,,,no_candidate,NO_CANDIDATE_KEEP_CURRENT_PENDING,NO_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=no_candidate | category_mismatch: Süt Ürünleri -> Tahıl & Ekmek | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,Kategori düzelt + değer kontrol
49,Portakal,Meyve,,52.6667,0.9333,12,0.1333,0,0,0,1 Adet,150,"Bebek Maması, Suyu Portakal",45.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
50,Mandalina,Meyve,,58.6667,0.8,13.3333,0.2667,0,0,0,1 Adet,75,Çiğ Klementin Mandalina,47.0,likely_related,LIKELY_OK_OR_USDA_CLOSE,LIKELY_OK_OR_USDA_CLOSE | candidate_quality=likely_related | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA eşleşmesini elle onayla; uygunsa verified yap
51,Çilek,Meyve,,36.6667,0.6667,7.7333,0.3333,0,0,0,1 Kase,150,Çiğ Çilek,31.0,likely_related,LIKELY_OK_OR_USDA_CLOSE,LIKELY_OK_OR_USDA_CLOSE | candidate_quality=likely_related | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA eşleşmesini elle onayla; uygunsa verified yap
52,Üzüm,Meyve,,76.6667,0.6667,18,0.2,0,0,0,1 Kase,150,"Asma Yaprağı, Çiğ",93.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
53,Karpuz,Meyve,,34.5,0.6,7.6,0.2,0,0,0,1 Dilim,200,"Karpuz Çekirdeği, Kurutulmuş",557.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
54,Kavun,Meyve,,38,0.8,8.2,0.2,0,0,0,1 Dilim,200,Boynuzlu Kavun (Kiwano),44.0,likely_related,LIKELY_OK_OR_USDA_CLOSE,LIKELY_OK_OR_USDA_CLOSE | candidate_quality=likely_related | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | USDA adayı horned melon/kiwano; normal kavun için uygun olmayabilir. | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA eşleşmesini elle onayla; uygunsa verified yap
55,Armut,Meyve,,62.9412,0.4118,15,0.1176,0,0,0,1 Adet,170,"Bebek Maması, Bebek/Çocuk Armut Doğranmış",57.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
56,Kiraz,Meyve,,70.6667,1.1333,16,0.2,0,0,0,1 Kase,150,"Bebek Maması, Junior Kiraz Cobbler Tatlısı",78.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
57,Erik,Meyve,,50.7692,0.7692,11.3846,0.3077,0,0,0,1 Adet,65,"Bebek Maması, Junior Meyve Erik ile Tapyoka",74.0,bad_candidate_keyword,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING,REJECT_USDA_CANDIDATE_KEEP_CURRENT_PENDING | candidate_quality=bad_candidate_keyword | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı
58,İncir (Taze),Meyve,,84,0.8,19.2,0.4,0,0,0,1 Adet,50,Çiğ İncir,74.0,likely_related,LIKELY_OK_OR_USDA_CLOSE,LIKELY_OK_OR_USDA_CLOSE | candidate_quality=likely_related | sugar_likely_placeholder_zero; fiber_likely_placeholder_zero | fiber_100g_zero_placeholder | sugar_100g_zero_placeholder | sodium_mg_100g_zero_placeholder,USDA eşleşmesini elle onayla; uygunsa verified yap
