food_id,name,old_tags,new_tags,removed_tags,added_tags,tag_review_status,review_note
272,Bulgur (Kuru),Vegan|Vejetaryen|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,corrected,Bulgur contains gluten; Glutensiz removed.
273,Bulgur (Haşlanmış),Vegan|Vejetaryen|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,corrected,Bulgur contains gluten; Glutensiz removed.
12,Kinoa (Haşlanmış),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Protein|Düşük GI,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Protein|Düşük GI,,,preserved,Existing tags preserved unless demonstrably invalid.
274,Nohut (Kuru),Deniz Ürünsüz,Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
16,Badem (Çiğ),Vegan|Vejetaryen|Keto|Glutensiz|Laktozsuz|Deniz Ürünsüz|Yüksek Protein,Vegan|Vejetaryen|Keto|Glutensiz|Laktozsuz|Deniz Ürünsüz|Yüksek Protein,,,preserved,Existing tags preserved unless demonstrably invalid.
216,Kaju (Çiğ),Vegan|Vejetaryen|Glutensiz|Laktozsuz|Deniz Ürünsüz|Keto|Yüksek Protein,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Deniz Ürünsüz|Keto|Yüksek Protein,,,preserved,Existing tags preserved unless demonstrably invalid.
109,Chia Tohumu,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz|Yüksek Lif|Yüksek Protein,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Deniz Ürünsüz|Yüksek Lif|Yüksek Protein,Kuruyemişsiz,,corrected_invalid_tag,Existing tags preserved unless demonstrably invalid.
275,Hindistan Cevizi Yağı,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Deniz Ürünsüz,Vegan|Vejetaryen|Glutensiz|Laktozsuz|Deniz Ürünsüz,,,conservative_default,Conservative deterministic tags; USDA does not verify dietary/allergen labels.
20,Zeytinyağı,Vegan|Vejetaryen|Keto|Akdeniz|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,Vegan|Vejetaryen|Keto|Akdeniz|Glutensiz|Laktozsuz|Kuruyemişsiz|Deniz Ürünsüz,,,preserved,Existing tags preserved unless demonstrably invalid.
276,Tereyağı (Tuzsuz),Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz|Keto,Vejetaryen|Glutensiz|Kuruyemişsiz|Deniz Ürünsüz|Keto,,,corrected,Butter is dairy; Vegan and Laktozsuz are invalid without explicit lactose-free source.
