candidate_id,name_tr,name_en,category_tr,preferred_source,candidate_portion_label,candidate_portion_grams,candidate_1_food_id,candidate_1_name_tr,candidate_1_name_en,candidate_1_category_tr,candidate_1_calories_100g,candidate_1_protein_100g,candidate_1_carbs_100g,candidate_1_fat_100g,candidate_2_food_id,candidate_2_name_tr,candidate_2_name_en,candidate_2_calories_100g,match_status,review_note,recommended_action
exp_012,Bakla (Taze),Fava beans fresh,Sebze,USDA,1 Kase,80,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_013,Maydanoz (Taze),Parsley fresh,Sebze,USDA,1 Yemek Kaşığı,5,5213,Taze Maydanoz,Fresh Parsley,Baharat,36,2.97,6.33,0.79,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_014,Dereotu (Taze),Dill fresh,Sebze,USDA,1 Yemek Kaşığı,3,5209,Taze Dereotu,Fresh Dill,Baharat,43,3.46,7.02,1.12,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_015,Kırmızı Lahana (Çiğ),Red cabbage raw,Sebze,USDA,1 Kase,80,6471,Çiğ kırmızı lahana,Raw Red Cabbage,Sebze,24,1.21,5.37,0.18,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_016,Patates (Çiğ),Potato raw,Sebze,USDA,1 Adet,150,558,"Beyaz Patates, Çiğ, Etli Kısmı ve Kabuklu","White Potato, Raw, Flesh and Skin",Sebze,69,1.68,15.71,0.1,6192,Çiğ Kabuksuz Tatlı Patates,"Sweet Potatoes, Raw, Without Skin",78.999,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_017,Nane (Taze),Mint fresh,Sebze,USDA,1 Yemek Kaşığı,2,5214,Taze Nane,Fresh Peppermint,Baharat,70,3.75,14.89,0.94,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_018,Soğan (Kuru),Onion dry,Sebze,USDA,1 Adet,80,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_019,Ricotta Peyniri,Ricotta cheese,Süt Ürünleri,USDA,1 Yemek Kaşığı,30,5113,Tam Yağlı Ricotta Peyniri,"Ricotta Cheese, Whole Milk",Süt Ürünleri,157,7.81,6.86,11,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_020,Parmesan Peyniri,Parmesan cheese,Süt Ürünleri,USDA,1 Yemek Kaşığı,10,4333,Parmesan Peyniri,Parmesan Cheese,Süt Ürünleri,421,29.6,12.4,28,5646,Yağsız Parmesan Peyniri Üst Malzemesi,Fat-Free Parmesan Topping,370,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_021,Peynir (Tulum),Tulum cheese,Süt Ürünleri,TURKOMP_OR_RECIPE,1 Dilim,30,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_022,Laktozsuz Süt,Lactose-free milk,Süt Ürünleri,OPEN_FOOD_FACTS,1 Su Bardağı,200,,,,,,,,,,,,,open_food_facts_needed,Packaged/branded product — use Open Food Facts barcode lookup; USDA matching skipped.,Marka/barkod odaklıysa Open Food Facts; genel ürünse manuel kaynak
exp_023,Süt (Yağsız),Skim milk,Süt Ürünleri,USDA,1 Su Bardağı,200,648,"Buharlaştırılmış süt, yağsız, konserve","Evaporated Milk, Fat Free, Canned",Süt Ürünleri,78,7.55,11.35,0.2,5967,"Çikolatalı süt, yağsız","Chocolate Milk, Fat Free",67,wrong_or_weak_match,Top USDA candidate name diverges significantly from requested food.,1. aday yanlış; 2. aday elle kontrol edilebilir
exp_024,Yumurta Akı,Egg white,Yumurta,USDA,1 Adet,33,5799,Yumurta Akı,Egg White,Süt Ürünleri,55,10.7,2.36,0,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_025,Yumurta Sarısı,Egg yolk,Yumurta,USDA,1 Adet,17,350,"Bebek Maması, Junior Tahıl Gevreği ile Yumurta Sarısı","Baby Food, Cereal, With Egg Yolks, Junior",Bebek Gıdası,52,1.9,7.1,1.8,349,"Bebek Maması, Junior Tahıl Gevreği Yumurta Sarısı ve Bacon","Baby Food, Cereal, Egg Yolks & Bacon, Junior",79,wrong_or_weak_match,Top USDA candidate name diverges significantly from requested food.,1. aday yanlış; 2. aday elle kontrol edilebilir
exp_026,Uskumru (Izgara),Mackerel grilled,Et / Tavuk / Balık,USDA,1 Porsiyon,120,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_027,Sardalya (Izgara),Sardine grilled,Et / Tavuk / Balık,USDA,1 Porsiyon,100,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_028,Mezgit (Kızartma),Whiting fried,Et / Tavuk / Balık,TURKOMP_OR_RECIPE,1 Porsiyon,120,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_029,Kalamar (Izgara),Calamari grilled,Et / Tavuk / Balık,USDA,1 Porsiyon,120,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_030,Dana Antrikot (Izgara),Beef ribeye grilled,Et / Tavuk / Balık,USDA,1 Porsiyon,150,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_031,Hindi Budu (Fırın),Turkey leg roasted,Et / Tavuk / Balık,USDA,1 Porsiyon,150,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_032,Ahtapot (Haşlanmış),Octopus boiled,Et / Tavuk / Balık,USDA,1 Porsiyon,100,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_033,Köfte (Fırın),Meatballs baked,Et / Tavuk / Balık,TURKOMP_OR_RECIPE,1 Porsiyon,150,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_034,Pirinç (Çiğ Beyaz),White rice raw,Tahıl / Ekmek / Makarna,USDA,1 Su Bardağı,185,6027,Çiğ Beyaz Pirinç,"White Rice, Raw",Tahıl ve Ekmek,358.705,7.0389,80.3131,1.033,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_035,Bulgur (Kuru),Bulgur dry,Tahıl / Ekmek / Makarna,USDA,1 Su Bardağı,140,3550,Kuru Çiğ Bulgur,"Bulgur, Dry, Raw",Tahıl ve Ekmek,372.341,11.7562,75.8817,2.421,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_036,Makarna (Çiğ),Pasta dry,Tahıl / Ekmek / Makarna,USDA,1 Porsiyon,80,3511,Kuru Makarna,Dry Pasta,Tahıl ve Ekmek,371,13.04,74.67,1.51,3521,Kuru Tam Buğday Makarna,Dry Whole Wheat Pasta,362,likely_match_review_needed,Candidate is close but cooking/preparation state may differ — human review required.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_037,İrmik (Kuru),Semolina dry,Tahıl / Ekmek / Makarna,USDA,1 Su Bardağı,160,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_038,Yulaf Unu,Oat flour,Tahıl / Ekmek / Makarna,USDA,1 Yemek Kaşığı,10,5790,Yulaf unu,Oat Flour,Tahıl ve Ekmek,404,14.66,65.7,9.12,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_039,Mısır Unu,Corn flour,Tahıl / Ekmek / Makarna,USDA,1 Yemek Kaşığı,10,549,Beyaz Mısır İrmiği,White Cornmeal,Tahıl ve Ekmek,398,10.99,77.14,5.04,4247,Mısır Nişastası,Cornstarch,381,likely_match_review_needed,Candidate is plausible but not close enough for automatic verification.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_040,Mercimek (Yeşil Kuru),Green lentil dry,Baklagiller,USDA,1 Su Bardağı,190,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_041,Mercimek (Kırmızı Kuru),Red lentil dry,Baklagiller,USDA,1 Su Bardağı,190,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_042,Barbunya (Kuru),Kidney bean dry,Baklagiller,USDA,1 Su Bardağı,180,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_043,Soya Fasulyesi (Haşlanmış),Soybeans boiled,Baklagiller,USDA,1 Kase,90,5371,Tuzsuz Haşlanmış Soya Fasulyesi,Boiled Mature Soybeans without Salt,Baklagiller,172,18.21,8.36,8.97,5376,Tuzsuz Haşlanmış Yeşil Soya Fasulyesi,Boiled Green Soybeans without Salt,141,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_044,Nohut (Kuru),Chickpea dry,Baklagiller,USDA,1 Su Bardağı,180,3517,Kuru Nohut,"Chickpeas, Dry",Baklagiller,382.998,21.275,60.358,6.274,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_045,Paça Çorbası,Trotter soup,Çorba,TURKOMP_OR_RECIPE,1 Kase,250,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_046,Lahana Çorbası,Cabbage soup,Çorba,TURKOMP_OR_RECIPE,1 Kase,250,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_047,Sebze Çorbası,Mixed vegetable soup,Çorba,TURKOMP_OR_RECIPE,1 Kase,250,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_048,Balık Çorbası,Fish soup,Çorba,TURKOMP_OR_RECIPE,1 Kase,250,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_049,Analı Kızlı Çorbası,Analı kızlı soup,Çorba,TURKOMP_OR_RECIPE,1 Kase,250,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_050,Çılbır,Cilbir,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Porsiyon,200,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_051,Türlü,Mixed vegetable stew,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Porsiyon,250,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_052,Sulu Köfte,Sulu köfte,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Porsiyon,250,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_053,Ali Nazik,Ali nazik,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Porsiyon,250,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_054,Patlıcan Salatası (Közlenmiş),Roasted eggplant salad,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Kase,120,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_055,Sigara Böreği,Sigara böreği,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Adet,40,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_056,Su Böreği,Su böreği,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Porsiyon,150,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_057,Kaygana,Kaygana,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Porsiyon,120,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_058,Pişi,Pişi,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Adet,60,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_059,Haydari,Haydari,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Kase,80,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_060,Acılı Ezme,Spicy tomato dip,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Kase,80,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_061,Orman Kebabı,Orman kebabı,Türk Ev Yemekleri,TURKOMP_OR_RECIPE,1 Porsiyon,250,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_062,Gözleme (Ispanaklı),Gözleme spinach,Kahvaltılık,TURKOMP_OR_RECIPE,1 Adet,150,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_063,Reçel (Çilek),Strawberry jam,Kahvaltılık,TURKOMP_OR_RECIPE,1 Yemek Kaşığı,20,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_064,Fransız Tostu,French toast,Kahvaltılık,TURKOMP_OR_RECIPE,1 Dilim,80,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_065,Sahanda Sucuk,Sucuk pan-fried,Kahvaltılık,TURKOMP_OR_RECIPE,1 Porsiyon,50,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_066,Hindistan Cevizi Yağı,Coconut oil,Yağlar,USDA,1 Yemek Kaşığı,15,2456,Hindistan Cevizi Yağı,Coconut Oil,Yağlar,833,0,0.84,99.1,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_067,Susam Yağı,Sesame oil,Yağlar,USDA,1 Yemek Kaşığı,15,5029,"Susam yağı, yemeklik ve salatalık","Sesame Oil, Cooking and Salad",Yağlar,884,0,0,100,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_068,Margarin,Margarine,Yağlar,MANUAL_REVIEW,1 Yemek Kaşığı,15,,,,,,,,,,,,,manual_review_needed,Uncertain or low-coverage item — requires manual nutrition review; USDA matching skipped.,Manuel kaynak kontrolü gerekir
exp_069,Kabak Çekirdeği,Pumpkin seeds,Kuruyemiş,USDA,1 Kase,30,6169,Çiğ Kabak Çekirdeği,"Pumpkin Seeds, Raw",Kuruyemiş ve Tohum,554.602,29.9079,18.6751,40.03,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_070,Susam (Kuru),Sesame seeds,Kuruyemiş,USDA,1 Yemek Kaşığı,10,5031,"Susam İçi, Kavrulmuş, Tuzsuz","Sesame Kernels, Roasted, Without Salt",Kuruyemiş ve Tohum,567,16.96,26.04,48,,,,,likely_match_review_needed,Candidate is plausible but not close enough for automatic verification.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_071,Pekan Cevizi,Pecans,Kuruyemiş,USDA,1 Adet,4,6296,Çiğ Pekan Cevizi,"Pecans, Raw",Kuruyemiş ve Tohum,750.152,9.9587,12.6993,73.28,,,,,likely_match_review_needed,Reasonable USDA candidate found — human review recommended before import.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_072,Kuru Dut,Dried mulberry,Kuruyemiş,MANUAL_REVIEW,1 Yemek Kaşığı,15,,,,,,,,,,,,,manual_review_needed,Uncertain or low-coverage item — requires manual nutrition review; USDA matching skipped.,Manuel kaynak kontrolü gerekir
exp_073,Yer Fıstığı (Kavrulmuş Tuzsuz),Peanuts roasted unsalted,Kuruyemiş,USDA,1 Kase,30,,,,,,,,,,,,,no_usda_match,No USDA candidates returned from Supabase search.,USDA araması iyileştirilmeli veya manuel/TÜRKOMP kaynağı bulunmalı
exp_074,Salep,Salep,İçecek,TURKOMP_OR_RECIPE,1 Fincan,200,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_075,Boza,Boza,İçecek,TURKOMP_OR_RECIPE,1 Su Bardağı,200,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_076,Şalgam Suyu,Turnip juice,İçecek,TURKOMP_OR_RECIPE,1 Su Bardağı,200,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_077,Limonata (Ev Yapımı),Homemade lemonade,İçecek,TURKOMP_OR_RECIPE,1 Su Bardağı,250,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
exp_078,Ihlamur Çayı,Linden tea,İçecek,MANUAL_REVIEW,1 Fincan,200,,,,,,,,,,,,,manual_review_needed,Uncertain or low-coverage item — requires manual nutrition review; USDA matching skipped.,Manuel kaynak kontrolü gerekir
exp_079,Galeta,Cracker,Atıştırmalık,USDA,1 Adet,5,2085,Galeta unu,Bread Crumbs,Tahıl ve Ekmek,266,8.85,49.42,3.33,,,,,likely_match_review_needed,Candidate is plausible but not close enough for automatic verification.,Elle kontrol sonrası eklenebilir; pişmiş/çiğ ve porsiyon netleştirilmeli
exp_080,Kurabiye (Ev Yapımı),Homemade cookie,Atıştırmalık,TURKOMP_OR_RECIPE,1 Adet,25,,,,,,,,,,,,,recipe_or_turkomp_needed,Turkish/local dish — use TürKomp or recipe-based calculation; USDA matching skipped.,TÜRKOMP/tarif hesabı ile doğrulanmalı; USDA’dan otomatik ekleme yapma
