candidate_id,name_tr,name_en,category_tr,target_state,preferred_source,exists_in_current_catalog,existing_food_id,existing_food_name,existing_match_confidence,original_match_status,usda_food_id,usda_name_en,usda_calories_100g,usda_protein_100g,usda_carbs_100g,usda_fat_100g,usda_fiber_100g,usda_sugar_100g,usda_sodium_mg_100g,usda_score,state_match,base_food_match,category_match,variant_warning,missing_nutrient_warning,audit_decision,audit_note
wl_114,Misket Limonu,Lime,Meyve,raw,USDA,false,,,none,can_update_from_usda,4028,"Limes, Raw",30,0.7,10.54,0.2,2.8,1.69,2,55.1667,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_115,Trabzon Hurması,Persimmon,Meyve,raw,USDA,false,,,none,can_update_from_usda,6168,Raw Japanese Persimmon,70,0.58,18.59,0.19,3.6,12.53,1,88.5,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_116,Çarkıfelek,Passion fruit,Meyve,raw,USDA,false,,,none,can_update_from_usda,6258,Raw Purple Passion Fruit,97,2.2,23.38,0.7,10.4,11.2,28,88.5,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_117,Kuru İncir,Dried figs,Meyve,dried,USDA,false,,,none,can_update_from_usda,2262,Stewed Dried Figs,107,1.42,27.57,0.4,4.2,23.35,4,88.5,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_118,Kuru Erik,Prunes,Meyve,dried,USDA,false,,,none,can_update_from_usda,3420,Dried Prunes,240,2.18,63.88,0.38,7.1,38.13,2,90,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_119,Kızılcık,Cranberries,Meyve,raw,USDA,false,,,none,can_update_from_usda,6405,Raw Cranberries,46,0.46,11.97,0.13,3.6,4.27,2,63.5,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_120,Kestane (Haşlanmış),Chestnuts boiled,Meyve,boiled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_129,Kuru Kayısı,Dried apricots,Meyve,dried,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_139,Nektarin,Nectarine,Meyve,raw,USDA,false,,,none,can_update_from_usda,6266,"Nectarine, Raw",39,1.06,9.18,0.28,1.5,0,13,88.5,true,true,false,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_144,Böğürtlen Reçeli Meyvesi,Mixed berries,Meyve,raw,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_146,Turp,Radish,Sebze,raw,USDA,false,,,none,can_update_from_usda,5287,"Radish Sprouts, Raw",43,3.81,3.6,2.53,0,0,6,88.5,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_147,Brüksel Lahanası (Haşlanmış),Brussels sprouts boiled,Sebze,boiled,USDA,false,,,none,can_update_from_usda,2340,Boiled without Salt Brussels Sprouts,36,2.55,7.1,0.5,2.6,1.74,21,60,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_148,Kuşkonmaz (Haşlanmış),Asparagus boiled,Sebze,boiled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_149,Bakla (Taze),Fava beans fresh,Sebze,raw,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_150,Maydanoz (Taze),Parsley fresh,Sebze,raw,USDA,false,,,none,can_update_from_usda,5213,Fresh Parsley,36,2.97,6.33,0.79,3.3,0.85,56,60,true,true,false,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_151,Dereotu (Taze),Dill fresh,Sebze,raw,USDA,false,,,none,likely_match_manual_check,5209,Fresh Dill,43,3.46,7.02,1.12,2.1,0,61,50,true,true,false,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_152,Kırmızı Lahana (Çiğ),Red cabbage raw,Sebze,raw,USDA,false,,,none,can_update_from_usda,6257,"Red Cabbage, Raw",34.0538,1.2425,6.7899,0.2138,0,0,11.72,81.6667,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_154,Nane (Taze),Mint fresh,Sebze,raw,USDA,false,,,none,wrong_or_weak_match,5214,Fresh Peppermint,70,3.75,14.89,0.94,8,0,31,37.5,true,true,false,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_180,Pancar (Haşlanmış),Beet boiled,Sebze,boiled,USDA,false,,,none,likely_match_manual_check,2324,Boiled Beets,44,1.68,9.96,0.18,2,7.96,77,47.5,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_183,Zencefil (Taze),Ginger root fresh,Sebze,raw,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_184,Fesleğen (Taze),Basil fresh,Sebze,raw,USDA,false,,,none,likely_match_manual_check,5210,Fresh Basil,23,3.15,2.65,0.64,1.6,0.3,4,50,true,true,false,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_185,Kekik (Taze),Thyme fresh,Sebze,raw,USDA,false,,,none,likely_match_manual_check,5211,Fresh Thyme,101,5.56,24.45,1.68,14,0,9,50,true,true,false,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_189,Turp Yaprağı,Radish greens,Sebze,raw,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_191,Uskumru (Izgara),Mackerel grilled,Et / Tavuk / Balık,grilled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_192,Sardalya (Izgara),Sardine grilled,Et / Tavuk / Balık,grilled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_193,Kalamar (Izgara),Calamari grilled,Et / Tavuk / Balık,grilled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_194,Dana Antrikot (Izgara),Beef ribeye grilled,Et / Tavuk / Balık,grilled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_195,Hindi Budu (Fırın),Turkey leg roasted,Et / Tavuk / Balık,baked,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_196,Ahtapot (Haşlanmış),Octopus boiled,Et / Tavuk / Balık,boiled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_198,Çipura (Izgara),Sea bream grilled,Et / Tavuk / Balık,grilled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_202,Midye (Haşlanmış),Mussels boiled,Et / Tavuk / Balık,boiled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_204,Tavuk But (Fırın),Chicken thigh roasted,Et / Tavuk / Balık,baked,USDA,false,,,none,wrong_or_weak_match,2031,Roasted with Skin Chicken Thigh,232,23.26,0,14.71,0,0,102,38.3333,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_211,Yumurta Akı,Egg white,Et / Tavuk / Balık,raw,USDA,false,,,none,can_update_from_usda,5799,Egg White,55,10.7,2.36,0,0,0,0,85,false,true,true,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_212,Yumurta Sarısı,Egg yolk,Et / Tavuk / Balık,raw,USDA,false,,,none,can_update_from_usda,5803,Egg Yolk,334,16.2,1.02,28.8,0,0,0,85,false,true,true,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_218,Mezgit (Izgara),Whiting grilled,Et / Tavuk / Balık,grilled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_220,Palamut (Izgara),Bonito grilled,Et / Tavuk / Balık,grilled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_221,Dana Bonfile (Izgara),Beef tenderloin grilled,Et / Tavuk / Balık,grilled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_226,Ricotta Peyniri,Ricotta cheese,Süt Ürünleri,any,USDA,false,,,none,can_update_from_usda,5113,"Ricotta Cheese, Whole Milk",157,7.81,6.86,11,0,0,105,83.5,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_227,Parmesan Peyniri,Parmesan cheese,Süt Ürünleri,any,USDA,false,,,none,can_update_from_usda,4333,Parmesan Cheese,421,29.6,12.4,28,0,0,1750,85,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_235,Cheddar Peyniri,Cheddar cheese,Süt Ürünleri,any,USDA,false,,,none,can_update_from_usda,811,Cheddar Cheese,408,23.3,2.44,34,0,0,654,85,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_238,Greek Yoğurt,Greek yogurt plain,Süt Ürünleri,any,USDA,false,,,none,can_update_from_usda,177,Lowfat Plain Greek Yogurt,73,9.95,3.94,1.92,0,3.56,34,55,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_242,Süzme Peynir,Cottage cheese,Süt Ürünleri,any,USDA,false,,,none,can_update_from_usda,145,"Low-Fat Cottage Cheese, 1%",72,12.39,2.72,1.02,0,2.72,406,58.5,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_251,Pirinç (Çiğ Beyaz),White rice raw,Tahıl / Ekmek / Makarna,raw,USDA,false,,,none,can_update_from_usda,6027,"White Rice, Raw",358.705,7.0389,80.3131,1.033,0.1488,0,0.4625,85,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_252,Pirinç (Haşlanmış),White rice cooked,Tahıl / Ekmek / Makarna,cooked,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_253,Bulgur (Kuru),Bulgur dry,Tahıl / Ekmek / Makarna,raw,USDA,false,,,none,can_update_from_usda,3550,"Bulgur, Dry, Raw",372.341,11.7562,75.8817,2.421,11.72,0,2.18,83.5,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_254,Bulgur (Haşlanmış),Bulgur cooked,Tahıl / Ekmek / Makarna,cooked,USDA,false,,,none,wrong_or_weak_match,4621,Cooked Bulgur,83,3.08,18.58,0.24,4.5,0.1,5,38.3333,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_257,Tam Buğday Ekmeği,Whole wheat bread,Tahıl / Ekmek / Makarna,any,USDA,false,,,none,can_update_from_usda,5083,Whole Wheat Bread,254,12.3,43.1,3.55,6,0,450,85,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_263,Yulaf Lapası (Pişmiş),Oatmeal cooked,Tahıl / Ekmek / Makarna,cooked,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_267,Kuskus (Haşlanmış),Couscous cooked,Tahıl / Ekmek / Makarna,cooked,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_268,İrmik (Kuru),Semolina dry,Tahıl / Ekmek / Makarna,raw,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_269,Yulaf Unu,Oat flour,Tahıl / Ekmek / Makarna,raw,USDA,false,,,none,can_update_from_usda,5790,Oat Flour,404,14.66,65.7,9.12,6.5,0.8,19,85,false,true,true,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_270,Mısır Unu,Corn flour,Tahıl / Ekmek / Makarna,raw,USDA,false,,,none,can_update_from_usda,4254,Corn Flour,364,6.2,80.8,1.74,4.3,0,0,85,false,true,true,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_271,Buğday Unu (Beyaz),Wheat flour white,Tahıl / Ekmek / Makarna,raw,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_272,Tam Buğday Unu,Whole wheat flour,Tahıl / Ekmek / Makarna,raw,USDA,false,,,none,can_update_from_usda,5092,Whole Wheat Flour,370,15.1,71.2,2.73,10.6,0,3,85,false,true,true,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_273,Galeta Unu,Breadcrumbs,Tahıl / Ekmek / Makarna,any,USDA,false,,,none,can_update_from_usda,2085,Bread Crumbs,266,8.85,49.42,3.33,2.7,5.67,490,68.3333,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_275,Ekşi Mayalı Ekmek,Sourdough bread,Tahıl / Ekmek / Makarna,any,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_276,Basmati Pirinç (Haşlanmış),Basmati rice cooked,Tahıl / Ekmek / Makarna,cooked,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_277,Esmer Pirinç (Haşlanmış),Brown rice cooked,Tahıl / Ekmek / Makarna,cooked,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_278,Noodle (Haşlanmış),Noodles cooked,Tahıl / Ekmek / Makarna,cooked,USDA,false,,,none,can_update_from_usda,4859,"Soba Noodles, Cooked",99,5.06,21.44,0.1,0,0,60,71,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_280,Tortilla (Buğday),Wheat tortilla,Tahıl / Ekmek / Makarna,any,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_281,Mercimek (Yeşil Kuru),Green lentil dry,Baklagiller,raw,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_282,Mercimek (Kırmızı Kuru),Red lentil dry,Baklagiller,raw,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_283,Mercimek (Yeşil Haşlanmış),Green lentil boiled,Baklagiller,boiled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_284,Mercimek (Kırmızı Haşlanmış),Red lentil boiled,Baklagiller,boiled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_291,Soya Fasulyesi (Haşlanmış),Soybeans boiled,Baklagiller,boiled,USDA,false,,,none,can_update_from_usda,5371,Boiled Mature Soybeans without Salt,172,18.21,8.36,8.97,6,3,1,60,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_292,Edamame (Haşlanmış),Edamame boiled,Baklagiller,boiled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_293,Börülce (Haşlanmış),Black-eyed peas boiled,Baklagiller,boiled,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_294,Fava (Kuru),Fava bean dry,Baklagiller,raw,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_296,Kabak Çekirdeği,Pumpkin seeds,Kuruyemiş,any,USDA,false,,,none,can_update_from_usda,6169,"Pumpkin Seeds, Raw",554.602,29.9079,18.6751,40.03,5.079,0,0,83.5,false,true,true,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_297,Susam (Kuru),Sesame seeds,Kuruyemiş,any,USDA,false,,,none,wrong_or_weak_match,5031,"Sesame Kernels, Roasted, Without Salt",567,16.96,26.04,48,16.9,0.48,39,30,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_298,Pekan Cevizi,Pecans,Kuruyemiş,any,USDA,false,,,none,can_update_from_usda,4450,Pecans,691,9.17,13.86,71.97,9.6,3.97,0,68.3333,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_299,Yer Fıstığı (Kavrulmuş Tuzsuz),Peanuts roasted unsalted,Kuruyemiş,roasted,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_306,Keten Tohumu,Flax seeds,Kuruyemiş,raw,USDA,false,,,none,wrong_or_weak_match,2953,Flaxseed Oil,884,0.11,0,99.98,0,0,0,30,false,true,true,,,manual_review_new_food,Yeni gıda; USDA adayı düşük güven veya eksik hizalama.
wl_308,Hindistan Cevizi (Rendelenmiş),Coconut shredded,Kuruyemiş,dried,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
wl_311,Hindistan Cevizi Yağı,Coconut oil,Yağlar,any,USDA,false,,,none,can_update_from_usda,2456,Coconut Oil,833,0,0.84,99.1,0,0,0,85,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_312,Susam Yağı,Sesame oil,Yağlar,any,USDA,false,,,none,can_update_from_usda,5029,"Sesame Oil, Cooking and Salad",884,0,0,100,0,0,0,83.5,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_315,Kanola Yağı,Canola oil,Yağlar,any,USDA,false,,,none,can_update_from_usda,2606,Canola Oil,884,0,0,100,0,0,0,85,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_317,Avokado Yağı,Avocado oil,Yağlar,any,USDA,false,,,none,can_update_from_usda,87,Avocado Oil,884,0,0,100,0,0,0,85,true,true,true,,,approved_new_food_candidate,Yeni gıda adayı; USDA eşleşmesi onaylandı.
wl_328,Tavuk Suyu Çorbası,Chicken broth soup,Çorba,any,USDA,false,,,none,no_source_match,,,,,,,,,,,,,,,,manual_review_new_food,No USDA candidates passed strict scoring filters.
