food_id,name,category_before,category_after,calories,protein,carbs,fat,issue_type,action_taken,review_status,notes
13,Avokado,Genel,Meyve,269,3,13.5,22.5,category_fix,category: Genel -> Meyve,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
14,Yoğurt (Tam Yağlı),Süt Ürünleri,Süt Ürünleri,94,5.3,7.1,4.9,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
15,Nohut (Haşlanmış),Baklagil,Baklagil,251,13.4,40.5,3.9,none,review_metadata_added,needs_review,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
16,Badem,Kuruyemiş,Kuruyemiş,8,0.3,0.3,0.6,none,review_metadata_added,needs_review,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
17,Ispanak (Çiğ),Sebze,Sebze,12,1.2,1.4,0.2,none,review_metadata_added,needs_review,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
18,Tatlı Patates,Sebze,Sebze,105,1.9,24,0.1,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
19,Lor Peyniri,Süt Ürünleri,Süt Ürünleri,14,1.7,0.5,0.6,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
20,Zeytinyağı,Yağ & Sos,Yağ & Sos,135,0,0,15,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
21,Simit,Tahıl & Ekmek,Tahıl & Ekmek,283,9,55,3,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
22,Beyaz Peynir,Süt Ürünleri,Süt Ürünleri,80,4.3,1.2,6.4,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
23,Menemen,Yemek,Yemek,297,14,13,21,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
24,Omlet,Genel,Yumurta,120,8.5,0.5,9.3,category_fix,category: Genel -> Yumurta,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
25,Poğaça (Peynirli),Süt Ürünleri,Tahıl & Ekmek,290,7.6,36,12.8,category_fix,category: Süt Ürünleri -> Tahıl & Ekmek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
26,Döner (Tavuk),Et & Tavuk,Et & Tavuk,225,33,4.5,8.3,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
27,Döner (Et),Et & Tavuk,Et & Tavuk,342,29.4,4.2,23.1,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
28,Lahmacun,Yemek,Yemek,256,13,33,8,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
29,Pide (Kaşarlı),Tahıl & Ekmek,Tahıl & Ekmek,700,31.3,87.5,25,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
30,"Börek (Peynirli, Fırın)",Süt Ürünleri,Tahıl & Ekmek,265,9.4,25.9,13.8,category_fix,category: Süt Ürünleri -> Tahıl & Ekmek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
31,Mantı,Yemek,Yemek,555,28.5,73.8,16.2,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
32,İskender Kebap,Et & Tavuk,Et & Tavuk,723,49,53,35,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
33,Bulgur Pilavı,Tahıl & Ekmek,Tahıl & Ekmek,308,11.2,60,2.6,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
34,Makarna (Haşlanmış),Tahıl & Ekmek,Tahıl & Ekmek,261,10,50.4,2.2,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
35,Domates Çorbası,Çorba,Çorba,123,4,20,3,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
36,Tavuk Çorbası,Çorba,Çorba,38,4.5,2,1.3,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
37,Ayran,Süt Ürünleri,İçecek,89,5,6,5,category_fix,category: Süt Ürünleri -> İçecek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
38,Türk Çayı (Şekersiz),İçecek,İçecek,2,0,0.4,0,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
39,Türk Kahvesi (Sade),İçecek,İçecek,3,0.2,0.4,0.1,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
40,Tost (Kaşarlı),Tahıl & Ekmek,Tahıl & Ekmek,435,19.5,42,21,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
41,Karnıyarık,Yemek,Yemek,245,15.6,19.6,11.6,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
42,Cacık,Yemek,Yemek,103,5.6,7,5.8,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
43,Baklava,Baklagil,Tatlı,171,2.1,20.8,8.8,category_fix,category: Baklagil -> Tatlı,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
44,Künefe,Tatlı,Tatlı,712,16,90,32,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
45,Elma,Meyve,Meyve,104,0.5,24.8,0.3,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
46,Muz,Meyve,Meyve,118,1.3,27.4,0.4,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
47,Çiğ Köfte (Ev Yapımı),Et & Tavuk,Et & Tavuk,266,7.5,42,7.5,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
48,Gözleme (Peynirli),Süt Ürünleri,Tahıl & Ekmek,430,16.2,50.3,18.2,category_fix,category: Süt Ürünleri -> Tahıl & Ekmek,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
49,Portakal,Meyve,Meyve,79,1.4,18,0.2,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
50,Mandalina,Meyve,Meyve,44,0.6,10,0.2,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
51,Çilek,Meyve,Meyve,55,1,11.6,0.5,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
52,Üzüm,Meyve,Meyve,115,1,27,0.3,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
53,Karpuz,Meyve,Meyve,69,1.2,15.2,0.4,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
54,Kavun,Meyve,Meyve,76,1.6,16.4,0.4,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
55,Armut,Meyve,Meyve,107,0.7,25.5,0.2,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
56,Kiraz,Meyve,Meyve,106,1.7,24,0.3,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
57,Erik,Meyve,Meyve,33,0.5,7.4,0.2,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
58,İncir (Taze),Meyve,Meyve,42,0.4,9.6,0.2,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
59,Nar,Meyve,Meyve,92,1.7,18.7,1.2,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
60,Kivi,Meyve,Meyve,51,0.8,11,0.4,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
61,Ananas,Meyve,Meyve,55,0.5,13.1,0.1,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
62,Kayısı (Taze),Genel,Meyve,19,0.5,3.9,0.1,category_fix,category: Genel -> Meyve,pending_verification,Kaynak bulunana kadar pending kalsın Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
63,Hurma (Medjool),Meyve,Meyve,74,0.4,18,0,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
64,Greyfurt,Meyve,Meyve,71,1.2,16,0.2,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
65,Domates,Sebze,Sebze,25,1.1,4.7,0.2,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
66,Salatalık,Sebze,Sebze,36,1.4,7.2,0.2,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
67,Marul,Sebze,Sebze,17,0.9,3,0.1,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
68,Havuç,Sebze,Sebze,26,0.5,5.8,0.1,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
69,Brokoli (Haşlanmış),Sebze,Sebze,63,3.6,10.8,0.6,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
70,Karnabahar (Haşlanmış),Sebze,Sebze,42,2.7,6.1,0.8,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
71,Kabak,Sebze,Sebze,40,2.4,6.2,0.6,name_fix,review_metadata_added; name: Kabak (Havuç) -> Kabak,needs_review,"Eski ad ""Kabak (Havuç)"" belirsizdi; kabak olarak düzeltildi, makrolar kaynakla doğrulanmalı. DÜZELTME ÖNCELİĞİ YÜKSEK Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli."
72,Patlıcan (Izgara),Sebze,Sebze,72,1.4,15.7,0.4,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
73,Biber (Dolmalık),Sebze,Sebze,24,0.9,4.6,0.2,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
74,Roka,Sebze,Sebze,26,2.1,3,0.6,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
75,Mantar (Beyaz),Sebze,Sebze,28,3.1,3.3,0.3,none,review_metadata_added,needs_review,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
76,Patates (Haşlanmış),Sebze,Sebze,134,2.8,30.2,0.2,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
77,Mısır (Haşlanmış),Sebze,Sebze,111,3.4,21,1.5,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
78,Bezelye (Haşlanmış),Sebze,Sebze,129,8.1,23.4,0.3,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
79,Dana Biftek (Izgara),Et & Tavuk,Et & Tavuk,399,39,0,27,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
80,Kuzu Pirzola (Izgara),Et & Tavuk,Et & Tavuk,347,30,0,25.2,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
81,Dana Kıyma (%15 Yağ),Et & Tavuk,Et & Tavuk,359,39,0,22.5,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
82,Hindi Göğsü (Izgara),Et & Tavuk,Et & Tavuk,194,45,0,1.5,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
83,Tavuk Kanat (Fırın),Et & Tavuk,Et & Tavuk,430,40,0,30,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
84,"Ton Balığı (Konserve, Suda)",Balık & Deniz,Balık & Deniz,113,26,0,1,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
85,Levrek (Izgara),Balık & Deniz,Balık & Deniz,179,36,0,3.9,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
86,Çupra (Izgara),Balık & Deniz,Balık & Deniz,187,31.5,0,6.8,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
87,Hamsi (Kızartma),Balık & Deniz,Balık & Deniz,205,22,0,13,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
88,Karides (Haşlanmış),Balık & Deniz,Balık & Deniz,119,28.8,0,0.4,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
89,Adana Kebap,Et & Tavuk,Et & Tavuk,374,33,3,25.5,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
90,Şiş Kebap (Kuzu),Et & Tavuk,Et & Tavuk,326,36,1.5,19.5,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
91,Pastırma,Et & Tavuk,Et & Tavuk,36,4.4,0.2,2,none,review_metadata_added,needs_review,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
92,Sucuk,Et & Tavuk,Et & Tavuk,221,11.5,1,19,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
93,Kaşar Peyniri,Süt Ürünleri,Süt Ürünleri,95,6.3,0.5,7.5,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
94,Labne,Süt Ürünleri,Süt Ürünleri,184,6,4,16,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
95,Kefir,Süt Ürünleri,Süt Ürünleri,127,6.6,9.4,7,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
96,Süzme Yoğurt,Süt Ürünleri,Süt Ürünleri,149,15,5.4,7.5,none,review_metadata_added,needs_review,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
97,Tereyağı,Süt Ürünleri,Süt Ürünleri,73,0.1,0,8.1,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
98,Krema (%35),Süt Ürünleri,Süt Ürünleri,51,0.3,0.4,5.4,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
99,Beyaz Ekmek,Tahıl & Ekmek,Tahıl & Ekmek,79,2.7,14.7,1,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
100,Bazlama,Tahıl & Ekmek,Tahıl & Ekmek,267,8,52,3,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
101,Lavaş,Tahıl & Ekmek,Tahıl & Ekmek,167,5.4,32.4,1.8,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
102,Nohutlu Pilav,Tahıl & Ekmek,Tahıl & Ekmek,332,9,56,8,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
103,Mısır Gevreği,Sebze,Kahvaltılık,160,3.6,33.6,1.2,category_fix,category: Sebze -> Kahvaltılık,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
104,Granola,Tahıl & Ekmek,Tahıl & Ekmek,238,5,32,10,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
105,Ceviz,Kuruyemiş,Kuruyemiş,28,0.6,0.6,2.6,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
106,Fındık,Kuruyemiş,Kuruyemiş,11,0.3,0.3,1,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
107,Fıstık,Kuruyemiş,Kuruyemiş,31,1.3,0.8,2.5,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
108,Ay Çekirdeği (Çekilmiş),Genel,Kuruyemiş,187,6.3,6,15.3,category_fix,category: Genel -> Kuruyemiş,pending_verification,Kaynak bulunana kadar pending kalsın Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
109,Chia Tohumu,Kuruyemiş,Kuruyemiş,61,2,5,3.7,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
110,Zeytinyağlı Fasulye,Baklagil,Baklagil,192,5,16,12,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
111,İmam Bayıldı,Yemek,Yemek,209,3.8,17.5,13.8,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
112,Yaprak Sarma,Yemek,Yemek,44,1,6.3,1.6,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
113,Dolma (Biber),Sebze,Sebze,162,3.8,18,8.3,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
114,Hünkar Beğendi,Genel,Yemek,363,15,25,22.5,category_fix,category: Genel -> Yemek,pending_verification,Kaynak bulunana kadar pending kalsın Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
115,Etli Nohut,Baklagil,Baklagil,300,18,30,12,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
116,Ezogelin Çorbası,Çorba,Çorba,154,7.5,22.5,3.8,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
117,Tarhana Çorbası,Çorba,Çorba,132,6.3,20,3,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
118,İşkembe Çorbası,Çorba,Çorba,122,11.3,5,6.3,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
119,Pilav Üstü Döner (Tavuk),Et & Tavuk,Et & Tavuk,651,52.5,63,21,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
